Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /api2/orders/ID,4395,21,5,75,"6,88","0,046%","105,67444","51,38","13,52","497,8"
GET /api2/customers/ID,4495,16,3,61,"5,60","0,067%","108,09706","30,99","14,23","293,5"
GET /api2/products/ID,4532,16,3,53,"5,67","0,022%","108,97898","28,56","14,25","268,4"
POST /api2/orders,3022,52,2,151,"14,86","0,132%","72,63725","8,90","65,23","125,4"
POST /api/products,179,18,6,84,"8,05","0,000%","4,30962","0,51","1,15","122,0"
POST /api/customers,157,18,6,56,"7,90","0,000%","3,82330","0,46","1,08","122,0"
TOTAL,16780,24,2,151,"15,83","0,060%","403,32660","120,74","109,43","306,5"
