Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET /api2/orders/ID,24686,7,1,1023,"14,70","0,000%","329,63012","160,59","42,20","498,9"
GET /api2/products/ID,25005,6,1,1053,"14,41","0,000%","333,88079","84,68","43,67","259,7"
GET /api2/customers/ID,25056,6,1,1077,"12,24","0,000%","334,55283","92,11","44,08","281,9"
POST /api2/orders,16820,13,3,993,"20,19","0,059%","224,50614","39,36","201,77","179,5"
POST /api/customers,926,7,1,150,"11,35","0,000%","12,38813","2,19","3,48","181,0"
POST /api/products,942,7,1,117,"10,61","0,000%","12,60690","2,22","3,36","180,0"
TOTAL,93435,7,1,1077,"15,37","0,011%","1247,13027","381,00","338,49","312,8"
